"","newid","intno","year","firmth","nint","cdall","age","white","black","male","hsgrad","lesscol","colgrad","fam_size","nchle11","nch1217","persot64","hw","single","hwyng","hwchbs","hwchis","hwchas","spchbs","spchis","hwold","retired","headwrk","spouwrk","incweek1","inc_hrs1","incweek2","inc_hrs2","fincreal","owner","renter","ne","mw","west","urban","msa","ps4mil","ps1mil","ps330k","ps125k","tv","comp","sound","vcr","vehq","coldormi","occucod1","weight"
"1",104241,5,2000,5,1,0,86,1,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,2.2636707663,0,1,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,-1,1785.726
"2",109793,4,2000,2,0,42.938931298,43,1,0,1,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,52,60,26,40,9.5419847328,0,1,0,0,0,1,1,0,1,0,0,3,1,2,2,2,0,3,11983.806
"3",89430,3,1998,6,0,0.999000999,23,1,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0.2457542458,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,-1,23164.267
"4",107087,5,2000,8,0,0,41,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,60,0,0,3.9473684211,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,7,10221.775
"5",84153,5,1998,3,1,0,39,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,3.961885657,1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,1,0,2,15596.094
"6",114683,4,2000,12,1,0,36,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,13,25,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,13,7062.382
"7",94177,3,1998,11,1,0,49,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,49,40,0,0,2.9791459782,1,0,0,0,0,1,1,0,0,0,1,2,0,1,1,2,0,3,14806.738
"8",102851,5,2000,3,0,57.088487155,29,1,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,52,40,52,40,7.0618458611,1,0,0,0,0,1,1,0,1,0,0,5,2,1,2,2,0,2,9349.379
"9",95609,3,1998,11,1,0,41,1,0,1,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,52,40,0,0,0,1,0,0,1,0,1,1,0,0,1,0,2,1,1,1,2,0,13,21728.621
"10",97425,4,1998,12,1,0,40,1,0,0,0,0,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,8,20,52,40,2.9761904762,1,0,0,1,0,1,1,0,0,0,0,2,1,1,1,2,0,3,13801.282
"11",109786,3,2000,4,0,0,49,1,0,1,0,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,52,70,4.8387096774,1,0,0,1,0,1,1,0,0,0,1,2,1,1,1,3,0,4,18131.967
"12",110480,3,2000,6,1,0,37,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,27,0,0,0.6137865911,0,1,0,0,1,1,1,0,0,0,1,0,0,2,0,1,0,9,16109.66
"13",109061,5,2000,10,1,0,59,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,1.9666666667,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,2,15211.069
"14",117663,2,2000,11,0,0,30,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,2.1308411215,1,0,0,1,0,1,0,0,0,0,0,4,1,1,1,3,0,11,20919.597
"15",88899,5,1998,8,1,47.80876494,79,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,4,0,1,1,1,0,-1,23119.47
"16",87019,4,1998,2,1,0,30,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,50,0,0,3.7185929648,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,13,28338.644
"17",91790,4,1998,10,1,0,79,1,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,3.8364811133,0,1,0,0,0,1,1,0,1,0,0,2,0,1,1,1,0,-1,11921.334
"18",110169,2,2000,2,0,0,34,1,0,1,0,0,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,28,21,0,0,1,1,0,0,1,1,1,0,0,0,3,1,1,1,2,0,10,14103.332
"19",108385,3,2000,6,0,0,73,1,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,35,24,0,0,1.1410764873,1,0,0,1,0,1,1,0,1,0,0,2,1,1,2,4,0,15,4858.737
"20",115938,2,2000,12,1,0,42,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,48,50,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,0,1,22136.883
"21",92514,2,1998,5,1,60,52,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,52,40,40,20,8.9,1,0,1,0,0,1,1,1,0,0,0,3,1,1,2,0,0,1,25885.627
"22",89129,3,1998,1,1,0,61,1,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,52,40,0,0,0.9667673716,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,13,0,15,33389.192
"23",103661,4,2000,2,1,49.618320611,34,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,50,55,0,0,1.7175572519,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,7,21642.786
"24",106459,4,2000,2,1,0,40,1,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,52,40,5.9160305344,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,2,0,3,13522.325
"25",89285,5,1998,10,1,64.612425447,44,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,52,40,0,0,5.6262425447,0,1,0,0,1,1,1,0,1,0,0,2,1,2,2,1,0,4,19706.798
"26",90655,2,1998,1,1,0,75,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,2.8809667674,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,11,21733.708
"27",91161,4,1998,7,1,0,71,1,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,52,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,20082.855
"28",91318,3,1998,9,1,0,93,1,0,1,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,1.2531343284,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,-1,25073.195
"29",94764,2,1998,11,1,29.791459782,42,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,52,40,0,0,5.0658391261,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,4,0,3,10662.575
"30",111401,3,2000,8,1,0,74,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,1.2332706767,1,0,1,0,0,1,1,0,1,0,0,2,1,1,2,2,0,-1,9652.874
"31",87474,4,1998,5,1,50.0001,30,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,45,0,0,1.8,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,2,0,10,20674.484
"32",109200,4,2000,9,1,0,38,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,21,40,0,0,1.0187441425,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,13,18501.614
"33",104710,5,2000,5,0,0,45,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,52,40,52,40,3.3112582781,1,0,1,0,0,1,1,1,0,0,0,2,1,1,1,2,0,10,17509.228
"34",91843,2,1998,4,1,0,48,0,1,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,0,0,0.6542542543,0,1,0,0,0,1,1,0,1,0,0,2,0,1,2,0,0,-1,15627.193
"35",97454,4,1998,12,1,0,44,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,-1,8044.156
"36",105863,5,2000,9,0,0,47,1,0,1,1,0,0,5,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,52,40,26,30,4.7795688847,1,0,1,0,0,1,1,0,0,1,0,3,1,0,1,2,0,15,12105.993
"37",106274,5,2000,6,0,0,34,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,52,40,0,0,2.0132200189,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,10,8515.857
